date,yangshuo_shuiwei,yangshuo_traffic,yangshuo_traffic_per_day,guilin_traffic_per_day,chaotian_traffic_per_day
2024/4/1 11:00,104.42,193,186,238,12.8
2024/4/2 11:00,105.49,568,424,343,9.28
2024/4/3 11:00,104.75,288,292,171,7.93
2024/4/4 11:00,104.56,232,232,179,9.42
2024/4/5 11:00,105.04,390,403,239,20.1
2024/4/6 11:00,105.84,728,853,492,207
2024/4/7 11:00,106.82,1270,1240,563,117
2024/4/8 11:00,106.08,846,821,389,61.7
2024/4/9 11:00,105.4,529,517,275,40.6
2024/4/10 11:00,105.09,409,408,220,29.3
2024/4/11 11:00,104.9,339,344,196,23.4
2024/4/12 11:00,104.8,305,307,183,19.8
2024/4/13 11:00,104.77,295,289,186,16.9
2024/4/14 11:00,104.68,265,269,173,14.3
2024/4/15 11:00,104.61,244,248,166,12.3
2024/4/16 11:00,104.58,235,236,161,11.7
2024/4/17 11:00,104.71,275,291,237,30
2024/4/18 11:00,105.1,413,416,253,26.4
2024/4/19 11:00,105.58,608,781,433,75.6
2024/4/20 11:00,107.73,1870,1650,518,125
2024/4/21 11:00,107.82,1940,1780,601,121
2024/4/22 11:00,106.55,1100,1110,413,66.7
2024/4/23 11:00,106.02,816,763,284,45.5
2024/4/24 11:00,105.41,533,546,248,33.9
2024/4/25 11:00,105.2,451,454,231,28.3
2024/4/26 11:00,105.52,581,536,257,28.1
2024/4/27 11:00,105.46,555,592,295,49.1
2024/4/28 11:00,105.66,644,636,263,40.9
2024/4/29 11:00,105.23,463,467,208,29.2
2024/4/30 11:00,105.44,546,973,870,135
2024/5/1 11:00,106.8,1250,1270,533,67.7
2024/5/2 11:00,105.64,636,642,319,43.3
2024/5/3 11:00,105.31,494,497,291,35.8
2024/5/4 11:00,105.23,463,484,283,63.7
2024/5/5 11:00,105.87,743,710,271,81.5
2024/5/6 11:00,105.34,506,517,224,44.3
2024/5/7 11:00,105.12,421,420,213,32.3
2024/5/8 11:00,104.99,372,375,203,26
2024/5/9 11:00,104.9,339,347,197,22.1
2024/5/10 11:00,104.89,336,333,191,19.2
2024/5/11 11:00,104.8,305,304,193,18.1
2024/5/12 11:00,106.34,982,848,429,78.6
2024/5/13 11:00,105.86,738,736,274,42.8
2024/5/14 11:00,105.26,474,474,214,29
2024/5/15 11:00,104.89,336,365,182,22.7
2024/5/16 11:00,104.85,322,312,157,18.9
2024/5/17 11:00,104.66,259,263,150,16.1
2024/5/18 11:00,104.84,318,289,198,16.8
2024/5/19 11:00,105.64,636,797,547,124
2024/5/20 11:00,107.12,1450,1390,483,81.9
2024/5/21 11:00,105.69,658,669,266,42
2024/5/22 11:00,105.14,428,432,168,29.9
2024/5/23 11:00,104.88,332,334,165,24
2024/5/24 11:00,104.77,295,296,151,19.6
2024/5/25 11:00,104.65,256,261,144,17.6
2024/5/26 11:00,104.59,238,245,151,19
2024/5/27 11:00,104.72,278,285,173,20.9
2024/5/28 11:00,104.82,311,285,150,16.1
2024/5/29 11:00,104.56,232,235,108,13.7
2024/5/30 11:00,104.34,174,173,104,12.2
2024/5/31 11:00,104.55,229,211,121,11.2
2024/6/1 11:00,104.3,165,172,80.1,9.24
2024/6/2 11:00,104.24,151,149,84.6,8.74
2024/6/3 11:00,104.2,142,142,72.9,8.1
2024/6/4 11:00,104.3,165,192,84.4,22.4
2024/6/5 11:00,105,375,357,114,40.3
2024/6/6 11:00,104.84,318,314,111,25.4
2024/6/7 11:00,104.57,232,235,92.3,19.2
2024/6/8 11:00,104.43,195,193,83.3,21.2
2024/6/9 11:00,105.94,777,764,108,100
2024/6/10 11:00,106.25,934,975,123,115
2024/6/11 11:00,106.82,1270,1190,356,97.2
2024/6/12 11:00,106.07,841,846,280,50.8
2024/6/13 11:00,107.3,1570,1700,544,214
2024/6/14 11:00,107.79,1920,2060,741,109
2024/6/15 11:00,108.16,2180,1970,660,67.5
2024/6/16 11:00,106.92,1330,1360,420,83.5
2024/6/17 11:00,106.31,966,1360,1640,111
2024/6/18 11:00,110.92,4510,4260,2970,134
2024/6/19 11:00,109.08,2900,3550,4140,95.1
2024/6/20 11:00,111.6,5200,5070,3580,70.5
2024/6/21 11:00,108.74,2620,2830,1330,58.4
2024/6/22 11:00,107.42,1660,1620,1180,39.6
2024/6/23 11:00,106.79,1250,1240,784,31.6
2024/6/24 11:00,105.78,700,767,484,26.9
2024/6/25 11:00,105.84,728,1260,1080,147
2024/6/26 11:00,109.22,3010,2840,1290,169
2024/6/27 11:00,108.37,2330,2280,1250,110
2024/6/28 11:00,107.66,1820,1800,1100,58
2024/6/29 11:00,106.94,1340,1250,669,41.1
2024/6/30 11:00,105.85,733,782,551,49.6
2024/7/1 11:00,106.87,1300,1160,695,53.2
2024/7/2 11:00,107.22,1520,1590,922,112
2024/7/3 11:00,106.92,1330,1390,622,70.5
2024/7/4 11:00,106.28,950,934,416,46
2024/7/5 11:00,105.57,604,606,292,33.4
2024/7/6 11:00,105.28,482,483,236,26.7
2024/7/7 11:00,105.05,394,395,174,22.6
2024/7/8 11:00,104.81,308,317,169,18.5
2024/7/9 11:00,104.74,285,289,154,15.4
2024/7/10 11:00,104.72,278,265,155,13.3
2024/7/11 11:00,104.57,232,242,146,11.8
2024/7/12 11:00,104.54,226,227,126,11.1
2024/7/13 11:00,104.45,200,203,127,9.8
2024/7/14 11:00,104.44,198,193,95,9.18
2024/7/15 11:00,104.3,165,164,85.1,8.13
2024/7/16 11:00,104.26,156,154,64.6,7.53
2024/7/17 11:00,104.13,126,129,45.9,6.61
2024/7/18 11:00,104.05,109,113,46.1,6.47
2024/7/19 11:00,104.07,114,115,48.5,6.63
2024/7/20 11:00,104.08,116,116,48.5,6.32
2024/7/21 11:00,104.07,114,112,46.8,6.07
2024/7/22 11:00,104.04,107,105,43.2,5.82
2024/7/23 11:00,104,99,97.9,37.6,5.47
2024/7/24 11:00,103.95,89,89,35.6,5.51
2024/7/25 11:00,103.93,84.9,85.7,33.6,5.34
2024/7/26 11:00,103.91,81.1,80.3,33.9,5.39
2024/7/27 11:00,103.9,79.2,79.3,38.7,5.98
2024/7/28 11:00,104,99,161,329,11.7
2024/7/29 11:00,105.32,498,483,243,10.9
2024/7/30 11:00,104.61,244,255,137,9.56
2024/7/31 11:00,104.42,193,200,117,11.8
